reference_id,entity_id,claim_id,rank,property_id,datatype,datavalue,entity_label,entity_label_lan,property_label,property_label_lan,entity_alias,entity_alias_lan,property_alias,property_alias_lan,entity_desc,entity_desc_lan,property_desc,property_desc_lan,object_label,object_label_lan,object_alias,object_alias_lan,object_desc,object_desc_lan
390d6c6e68a32e11f8d7b0883cda0557db529fe6,Q5512528,Q5512528$81E8AD02-28AF-4AE3-8ACD-047C30B40B01,normal,P20,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 42564069, 'id': 'Q42564069'}, 'type': 'wikibase-entityid'}",G. V. Raja,en,place of death,en,"['G.V. Raja', 'ജി.വി. രാജ']",ml,"['deathplace', 'died in', 'death place', 'POD', 'location of death', 'death location', 'killed in']",en,sports official,en,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character",en,Kullu Valley,en,"['Kulû', 'Vallee de Kulu', 'Vallée de kulu']",fr,"valley in Himachal Pradesh, India",en
49b9aec8e10815611ff0379a34d5fd7c3830566e,Q12149940,Q12149940$C9FE5F0C-78FD-4ECE-B1C2-16A763B8ED4E,normal,P140,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1546359, 'id': 'Q1546359'}, 'type': 'wikibase-entityid'}",Sebastian Sabol,en,religion,en,['Sebastian Stepan Sabol'],en,"['religious affiliation', 'faith', 'life stance', 'denomination', 'follower of religion', 'follows religion', 'has religion']",en,"Ukrainian Basilian priest, poet and writer (1909-2003)",en,"religion of a person, organization or religious building, or associated with this subject",en,Greek catholic church,en,"['Iglesia Católica Griega', 'Iglesia catolica griega', 'Iglesia greco-católica', 'iglesia bizantina', 'iglesia católica de rito bizantino']",es,group of Eastern Catholic Churches following the Byzantine (Greek) liturgy,en
ab3e9ada7246257ffbfb86fa90a54f25e45a704e,Q583556,Q583556$929DCD2F-3B4A-41B5-89E7-EEC549077834,normal,P740,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 123709, 'id': 'Q123709'}, 'type': 'wikibase-entityid'}",Average White Band,en,location of formation,en,['Average White Band'],nl,"['originates from', 'comes from', 'place of foundation', 'founded in', 'formation location', 'source location of group/organisation', 'formed in', 'from', 'place of formation', 'place of incorporation']",en,Scottish R&B band,en,location where a group or organization was formed,en,Dundee,en,['City of Dundee'],en,city in Scotland,en
ab3e9ada7246257ffbfb86fa90a54f25e45a704e,Q583556,Q583556$2AD75C92-953E-47CB-93A6-D082674F4231,normal,P2031,time,"{'value': {'time': '+1972-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Average White Band,en,work period (start),en,['Average White Band'],nl,"['floruit (start)', 'floruit start', 'flourished (start)', 'fl. (start)', 'active since', 'start time for work', 'years active', 'start date of activity', 'date of activity (start)', 'work period start', 'work starts', 'career start', 'career began']",en,Scottish R&B band,en,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",en,1972,en,no-alias,none,no-desc,none
76b04346ad57869d9e5ae1007ba8343d708ab6f9,Q7586053,Q7586053$AD344012-A522-4A8A-AF64-16F859E2EA9A,normal,P2031,time,"{'value': {'time': '+1983-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Yutaka Higuchi,en,work period (start),en,['Ютака Хигути'],ru,"['floruit (start)', 'floruit start', 'flourished (start)', 'fl. (start)', 'active since', 'start time for work', 'years active', 'start date of activity', 'date of activity (start)', 'work period start', 'work starts', 'career start', 'career began']",en,Japanese musician,en,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",en,1983,en,no-alias,none,no-desc,none
1ee71b39caf6df395c64b436fea4895692812d38,Q5289513,Q5289513$B0532490-8FEC-4744-9D74-61238B633898,normal,P2031,time,"{'value': {'time': '+1994-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Dolores Delirio,en,work period (start),en,no-alias,none,"['floruit (start)', 'floruit start', 'flourished (start)', 'fl. (start)', 'active since', 'start time for work', 'years active', 'start date of activity', 'date of activity (start)', 'work period start', 'work starts', 'career start', 'career began']",en,grupo musical peruano,es,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",en,1994,en,no-alias,none,no-desc,none
e64fd9c459103a82eaf95b7a99f23687b895a15e,Q12633735,Q12633735$6AD884D6-9A87-4AAF-ABEB-24F6EC256679,normal,P2031,time,"{'value': {'time': '+2008-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Josip Bilinovac,en,work period (start),en,no-alias,none,"['floruit (start)', 'floruit start', 'flourished (start)', 'fl. (start)', 'active since', 'start time for work', 'years active', 'start date of activity', 'date of activity (start)', 'work period start', 'work starts', 'career start', 'career began']",en,Croatian basketball player (1990-),en,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",en,2008,en,no-alias,none,no-desc,none
9d3888688b4b18f5fee86aa6f9817b6d49cc2587,Q875232,Q875232$2D10C898-1A44-4F06-9B72-473F20BA1DCD,normal,P2043,quantity,"{'value': {'amount': '+26.996', 'unit': 'http://www.wikidata.org/entity/Q253276'}, 'type': 'quantity'}",Alabama State Route 145,en,length,en,no-alias,none,"['distance', 'dimension', 'size', 'long']",en,highway in Alabama,en,measured dimension of an object,en,26.996 mile,en,"['26.996 mi', '26.996 m', '26.996 miles']",en,unit of length,en
e4aabacd7b80c069d157823198280f5047c81532,Q7858261,Q7858261$8FEA5AAE-4D50-487E-A2E3-911D18AF7AB1,normal,P585,time,"{'value': {'time': '+1941-07-18T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Twin Pimples raid,en,point in time,en,no-alias,none,"['date', 'as of', 'time of event', 'at time', 'when', 'year', 'time', 'during', 'event date', 'on', 'by date']",en,no-desc,none,"time and date something took place, existed or a statement was true",en,18/07/1941,en,"['18 of July, 1941', '18/07/1941 (dd/mm/yyyy)', 'Jul 18, 1941']",en,no-desc,none
e8bca817517f1636f8d6d61656331b257ed66064,Q7227923,Q7227923$EFFB6029-2CE3-4392-9338-B57B2D5BEA6C,normal,P175,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3595530, 'id': 'Q3595530'}, 'type': 'wikibase-entityid'}",Ponniyin Selvan,en,performer,en,no-alias,none,"['artist', 'musician', 'played by', 'portrayed by', 'recorded by', 'recording by', 'dancer', 'actor', 'musical artist', 'performed by', 'actress', 'sung by', 'singer']",en,2005 film by Radha Mohan,en,"actor, musician, band or other performer associated with this role or musical work",en,Vidyasagar,en,no-alias,none,Indian film music director and music composer,en
2ecb2518bc116ca7cb6b48a2a949f1343d1a3808,Q27041785,Q27041785$DCF8C3E4-E0A3-4D62-BEF5-5AFED48A168B,normal,P1346,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 20750771, 'id': 'Q20750771'}, 'type': 'wikibase-entityid'}",2016–17 Alpe Adria Cup,en,winner,en,['2016-17 Alpe Adria Cup'],en,"['won by', 'victor', 'champion', 'winners', 'champ', 'top dog', 'leader', 'titleholder', 'prizewinner', '1st place medalist', 'awardee', 'nominee']",en,sportseizoen van een basketbalcompetitie,nl,"winner of a competition or similar event - do not use  on award items. Instead, use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686). Not for wars or battles either",en,MBK Rieker Komárno,en,no-alias,none,no-desc,none
16e1d8bbc347e2506ac55ef4105c7922a81015ba,Q73936275,Q73936275$1037AE55-B90E-44EB-8E23-76C390E0C787,normal,P2031,time,"{'value': {'time': '+2013-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",MOG Music,en,work period (start),en,no-alias,none,"['floruit (start)', 'floruit start', 'flourished (start)', 'fl. (start)', 'active since', 'start time for work', 'years active', 'start date of activity', 'date of activity (start)', 'work period start', 'work starts', 'career start', 'career began']",en,Ghanaian singer,en,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",en,2013,en,no-alias,none,no-desc,none
1358e640a78c5a6e43a39d8511a8e9f061aa839a,Q152707,Q152707$A49E276A-CB0E-433A-92E1-BF678C97BAF6,normal,P2031,time,"{'value': {'time': '+2000-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Rina Hidaka,en,work period (start),en,['Hidaka Rina'],en,"['floruit (start)', 'floruit start', 'flourished (start)', 'fl. (start)', 'active since', 'start time for work', 'years active', 'start date of activity', 'date of activity (start)', 'work period start', 'work starts', 'career start', 'career began']",en,Japanese actress and voice actress,en,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",en,2000,en,no-alias,none,no-desc,none
fa3dbf3fc3baa365e9b90114a310f42b757d2809,Q24287194,Q24287194$7A6EF5A8-643D-4F25-8F88-F3156D934D31,normal,P1346,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 666969, 'id': 'Q666969'}, 'type': 'wikibase-entityid'}",2016–17 Polish Cup,en,winner,en,['2016-17 Polish Cup'],en,"['won by', 'victor', 'champion', 'winners', 'champ', 'top dog', 'leader', 'titleholder', 'prizewinner', '1st place medalist', 'awardee', 'nominee']",en,football tournament season,en,"winner of a competition or similar event - do not use  on award items. Instead, use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686). Not for wars or battles either",en,Arka Gdynia,en,no-alias,none,association football club in Poland,en
74188de4f031ca41e7927959f818816dbdfc29af,Q99607134,Q99607134$AFA8CA17-AA5E-4033-8286-6C34CF51E4DA,normal,P31,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7604686, 'id': 'Q7604686'}, 'type': 'wikibase-entityid'}",The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016,en,instance of,en,no-alias,none,"['is a', 'is an', 'has class', 'has type', 'is a particular', 'is a specific', 'is an individual', 'is a unique', 'is an example of', 'member of', 'unique individual of', 'distinct member of', 'unitary element of class', 'distinct element of', 'distinct individual member of', 'rdf:type', 'type', 'main type', 'is a(n)', 'type of', 'is a type of']",en,UK Statutory Instrument 2016 No. 12,en,that class of which this subject is a particular example and member,en,UK Statutory Instrument,en,no-alias,none,type of secondary legislation in the United Kingdom,en
74188de4f031ca41e7927959f818816dbdfc29af,Q99607134,Q99607134$DC162B61-0C79-466A-B971-A4D58DB31BF7,normal,P1448,monolingualtext,"{'value': {'text': 'The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016', 'language': 'en'}, 'type': 'monolingualtext'}",The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016,en,official name,en,no-alias,none,"['long name', 'complete title', 'legal name', 'official title', 'name', 'registered name', 'full title', 'be named']",en,UK Statutory Instrument 2016 No. 12,en,official name of the subject in its official language(s),en,The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016,en,no-alias,none,no-desc,none
74188de4f031ca41e7927959f818816dbdfc29af,Q99607134,Q99607134$B60CD025-96E2-4371-9AA0-22C665C1302D,normal,P1001,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 145, 'id': 'Q145'}, 'type': 'wikibase-entityid'}",The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016,en,applies to jurisdiction,en,no-alias,none,"['of jurisdiction', 'linked to jurisdiction', 'belongs to jurisdiction', 'jurisdiction', 'country of jurisdiction', 'valid in jurisdiction', 'applies to territorial jurisdiction', 'applied to jurisdiction', 'applies to place', 'applies to area', 'applies to geographic place', 'applies to geographic area', 'applies to region']",en,UK Statutory Instrument 2016 No. 12,en,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)",en,United Kingdom,en,"['🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland']",en,country in Western Europe,en
