reference_id,entity_id,claim_id,rank,property_id,datatype,entity_label,entity_desc,property_label,property_desc,object_label,object_desc,entity_label_is_alias,property_label_is_alias,object_label_is_alias,verbalisation,verbalisation_unks_replaced,verbalisation_unks_replaced_then_dropped,alternative_alias_used,corrected_verbalisation,is_corrected_verbalisation,final_url
390d6c6e68a32e11f8d7b0883cda0557db529fe6,Q5512528,Q5512528$81E8AD02-28AF-4AE3-8ACD-047C30B40B01,normal,P20,wikibase-item,G. V. Raja,sports official,place of death,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character",Kullu Valley,"valley in Himachal Pradesh, India",False,False,False,G V Raja died in Kullu Valley.,G V Raja died in Kullu Valley.,G V Raja died in Kullu Valley.,False,G V Raja died in Kullu Valley.,False,https://en.wikipedia.org/w/index.php?title=G._V._Raja&oldid=916789538
49b9aec8e10815611ff0379a34d5fd7c3830566e,Q12149940,Q12149940$C9FE5F0C-78FD-4ECE-B1C2-16A763B8ED4E,normal,P140,wikibase-item,Sebastian Sabol,"Ukrainian Basilian priest, poet and writer (1909-2003)",religion,"religion of a person, organization or religious building, or associated with this subject",Greek catholic church,group of Eastern Catholic Churches following the Byzantine (Greek) liturgy,False,False,False,Sebastian Sabol's religion is the Greek catholic church.,Sebastian Sabol's religion is the Greek catholic church.,Sebastian Sabol's religion is the Greek catholic church.,False,Sebastian Sabol's religion is the Greek catholic church.,False,https://en.wikipedia.org/w/index.php?title=Sebastian_Sabol&oldid=921422667
ab3e9ada7246257ffbfb86fa90a54f25e45a704e,Q583556,Q583556$2AD75C92-953E-47CB-93A6-D082674F4231,normal,P2031,time,Average White Band,Scottish R&B band,start time for work,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",1972,no-desc,False,True,False,The average white band started work in 1972.,The average white band started work in 1972.,The average white band started work in 1972.,True,The average white band started in 1972.,True,https://en.wikipedia.org/w/index.php?title=Average_White_Band&oldid=921360877
76b04346ad57869d9e5ae1007ba8343d708ab6f9,Q7586053,Q7586053$AD344012-A522-4A8A-AF64-16F859E2EA9A,normal,P2031,time,Yutaka Higuchi,Japanese musician,start time for work,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",1983,no-desc,False,True,False,Yutaka Higuchi began work in 1983.,Yutaka Higuchi began work in 1983.,Yutaka Higuchi began work in 1983.,True,Yutaka Higuchi began work in 1983.,False,https://en.wikipedia.org/w/index.php?title=Yutaka_Higuchi_(musician)&oldid=852886961
1ee71b39caf6df395c64b436fea4895692812d38,Q5289513,Q5289513$B0532490-8FEC-4744-9D74-61238B633898,normal,P2031,time,Dolores Delirio,grupo musical peruano,start time for work,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",1994,no-desc,False,True,False,Dolores Delirio started work in 1994.,Dolores Delirio started work in 1994.,Dolores Delirio started work in 1994.,True,Dolores Delirio started work in 1994.,False,https://en.wikipedia.org/w/index.php?title=Dolores_Delirio&oldid=846145679
e64fd9c459103a82eaf95b7a99f23687b895a15e,Q12633735,Q12633735$6AD884D6-9A87-4AAF-ABEB-24F6EC256679,normal,P2031,time,Josip Bilinovac,Croatian basketball player (1990-),start time for work,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",2008,no-desc,False,True,False,Josip Bilinovac started work in 2008.,Josip Bilinovac started work in 2008.,Josip Bilinovac started work in 2008.,True,Josip Bilinovac started work in 2008.,False,https://en.wikipedia.org/w/index.php?title=Josip_Bilinovac&oldid=919882149
9d3888688b4b18f5fee86aa6f9817b6d49cc2587,Q875232,Q875232$2D10C898-1A44-4F06-9B72-473F20BA1DCD,normal,P2043,quantity,Alabama State Route 145,highway in Alabama,length,measured dimension of an object,26.996 mile,unit of length,False,False,False,The Alabama State Route 145 is 26.996 miles long.,The Alabama State Route 145 is 26.996 miles long.,The Alabama State Route 145 is 26.996 miles long.,False,The Alabama State Route 145 is 26.996 miles long.,False,https://en.wikipedia.org/w/index.php?title=Alabama_State_Route_145&oldid=753973024
e4aabacd7b80c069d157823198280f5047c81532,Q7858261,Q7858261$8FEA5AAE-4D50-487E-A2E3-911D18AF7AB1,normal,P585,time,Twin Pimples raid,no-desc,point in time,"time and date something took place, existed or a statement was true",18/07/1941,no-desc,False,False,False,Twin Pimples raid took place on 18/07/1941.,Twin Pimples raid took place on 18/07/1941.,Twin Pimples raid took place on 18/07/1941.,False,Twin Pimples raid took place on 18/07/1941.,False,https://en.wikipedia.org/w/index.php?title=Twin_Pimples_raid&oldid=912800699
e8bca817517f1636f8d6d61656331b257ed66064,Q7227923,Q7227923$EFFB6029-2CE3-4392-9338-B57B2D5BEA6C,normal,P175,wikibase-item,Ponniyin Selvan,2005 film by Radha Mohan,performer,"actor, musician, band or other performer associated with this role or musical work",Vidyasagar,Indian film music director and music composer,False,False,False,Vidyasagar is a performer of Ponniyin Selvan.,Vidyasagar is a performer of Ponniyin Selvan.,Vidyasagar is a performer of Ponniyin Selvan.,False,Vidyasagar is a performer of Ponniyin Selvan.,False,https://en.wikipedia.org/w/index.php?title=Ponniyin_Selvan_(2005_film)&oldid=982538956
2ecb2518bc116ca7cb6b48a2a949f1343d1a3808,Q27041785,Q27041785$DCF8C3E4-E0A3-4D62-BEF5-5AFED48A168B,normal,P1346,wikibase-item,2016–17 Alpe Adria Cup,sportseizoen van een basketbalcompetitie,won by,"winner of a competition or similar event - do not use  on award items. Instead, use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686). Not for wars or battles either",MBK Rieker Komárno,no-desc,False,True,False,MBK Rieker Komárno won the 2016–17 Alpe Adria Cup.,MBK Rieker Komárno won the 2016–17 Alpe Adria Cup.,MBK Rieker Komárno won the 2016–17 Alpe Adria Cup.,True,MBK Rieker Komárno won the 2016–17 Alpe Adria Cup.,False,https://en.wikipedia.org/w/index.php?title=2016%E2%80%9317_Alpe_Adria_Cup&oldid=918474137
16e1d8bbc347e2506ac55ef4105c7922a81015ba,Q73936275,Q73936275$1037AE55-B90E-44EB-8E23-76C390E0C787,normal,P2031,time,MOG Music,Ghanaian singer,start time for work,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",2013,no-desc,False,True,False,MOG Music began work in 2013.,MOG Music began work in 2013.,MOG Music began work in 2013.,True,MOG Music began work in 2013.,False,https://en.wikipedia.org/w/index.php?title=MOG_Music&oldid=930246276
1358e640a78c5a6e43a39d8511a8e9f061aa839a,Q152707,Q152707$A49E276A-CB0E-433A-92E1-BF678C97BAF6,normal,P2031,time,Rina Hidaka,Japanese actress and voice actress,start time for work,"start of period during which a person or group flourished (fl. = ""floruit"") in their professional activity",2000,no-desc,False,True,False,Rina Hidaka started work in 2000.,Rina Hidaka started work in 2000.,Rina Hidaka started work in 2000.,True,Rina Hidaka started work in 2000.,False,https://en.wikipedia.org/w/index.php?title=Rina_Hidaka&oldid=917894088
fa3dbf3fc3baa365e9b90114a310f42b757d2809,Q24287194,Q24287194$7A6EF5A8-643D-4F25-8F88-F3156D934D31,normal,P1346,wikibase-item,2016–17 Polish Cup,football tournament season,won by,"winner of a competition or similar event - do not use  on award items. Instead, use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686). Not for wars or battles either",Arka Gdynia,association football club in Poland,False,True,False,Arka Gdynia won the 2016–17 Polish Cup.,Arka Gdynia won the 2016–17 Polish Cup.,Arka Gdynia won the 2016–17 Polish Cup.,True,Arka Gdynia won the 2016–17 Polish Cup.,False,https://en.wikipedia.org/w/index.php?title=2016%E2%80%9317_Polish_Cup&oldid=893822928
74188de4f031ca41e7927959f818816dbdfc29af,Q99607134,Q99607134$2818F414-8F79-4677-8D9F-AD9B7E977A4A,normal,P577,time,The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016,UK Statutory Instrument 2016 No. 12,publication date,date or point in time when a work was first published or released,2016,no-desc,False,False,False,The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016 was published in 2016.,The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016 was published in 2016.,The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016 was published in 2016.,False,The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016 was published in 2016.,False,https://www.bailii.org/uk/legis/num_reg/2016/uksi_201612_en_1.html
4b03e3a418714c354f5a2a3cb4fbdbf1fa5f8cdf,Q99650979,Q99650979$B8EEB49F-A6F6-494E-9851-B81F8B11595A,normal,P577,time,"The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014",UK Statutory Instrument 2014 No. 3063,publication date,date or point in time when a work was first published or released,2014,no-desc,False,False,False,"The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014 was published in 2014.","The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014 was published in 2014.","The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014 was published in 2014.",False,"The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014 was published in 2014.",False,https://www.bailii.org/uk/legis/num_reg/2014/uksi_20143063_en_1.html
77340cf24c8ce0ad15b86f0b82d5aa79f539def4,Q99685323,Q99685323$E9A6AD36-A34F-4EC5-A285-6D50B23B8331,normal,P1031,string,"The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011",UK Statutory Instrument 2011 No. 574,citation,legal citation of legislation or a court decision,SI 2011 No. 574,no-desc,False,True,False,"The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011 has a citation of SI 2011 No. 574.","The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011 has a citation of SI 2011 No. 574.","The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011 has a citation of SI 2011 No. 574.",True,"The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011 has a citation of SI 2011 No. 574.",False,https://www.bailii.org/uk/legis/num_reg/2011/uksi_2011574_en_1.html
6d8ce4b1b011d51ea1ca4901fa8456909bc09413,Q99685431,Q99685431$131E57C9-49B6-43C7-84FC-61426F1AF002,normal,P1001,wikibase-item,The International Tax Enforcement (Grenada) Order 2011,UK Statutory Instrument 2011 No. 1687,applies to jurisdiction,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)",United Kingdom,country in Western Europe,False,False,False,The International Tax Enforcement (Grenada) Order 2011 applies to the jurisdiction of the United Kingdom.,The International Tax Enforcement (Grenada) Order 2011 applies to the jurisdiction of the United Kingdom.,The International Tax Enforcement (Grenada) Order 2011 applies to the jurisdiction of the United Kingdom.,False,The International Tax Enforcement (Grenada) Order 2011 applies to the jurisdiction of the United Kingdom.,False,https://www.bailii.org/uk/legis/num_reg/2011/uksi_20111687_en_1.html
43e81f6c0b889597e32e9e83bb904df883a3599f,Q99606106,Q99606106$1E3767AC-1BBE-4E82-B21C-EE5F2342BB7A,normal,P577,time,The Air Navigation (Restriction of Flying) (Corfe Mullen Dorset) (Emergency) Regulations 2016,UK Statutory Instrument 2016 No. 1148,publication date,date or point in time when a work was first published or released,2016,no-desc,False,False,False,The Air Navigation (Restriction of Flying) (Corfe Mullen Dorset) (Emergency) Regulations 2016 was published in 2016.,The Air Navigation (Restriction of Flying) (Corfe Mullen Dorset) (Emergency) Regulations 2016 was published in 2016.,The Air Navigation (Restriction of Flying) (Corfe Mullen Dorset) (Emergency) Regulations 2016 was published in 2016.,False,The Air Navigation (Restriction of Flying) (Corfe Mullen Dorset) (Emergency) Regulations 2016 was published in 2016.,False,https://www.bailii.org/uk/legis/num_reg/2016/uksi_20161148_en_1.html
e19e5f6b9c8e0602736f7e4d1ed37477583e9fed,Q99607164,Q99607164$FB6AB94E-7EE9-456F-8746-888A8E3BC135,normal,P1001,wikibase-item,The Wireless Telegraphy (Licence Charges) (Amendment) Regulations 2016,UK Statutory Instrument 2016 No. 643,applies to jurisdiction,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)",United Kingdom,country in Western Europe,False,False,False,The Wireless Telegraphy (Licence Charges) (Amendment) Regulations 2016 applies to the jurisdiction of the United Kingdom.,The Wireless Telegraphy (Licence Charges) (Amendment) Regulations 2016 applies to the jurisdiction of the United Kingdom.,The Wireless Telegraphy (Licence Charges) (Amendment) Regulations 2016 applies to the jurisdiction of the United Kingdom.,False,The Wireless Telegraphy (Licence Charges) (Amendment) Regulations 2016 applies to the jurisdiction of the United Kingdom.,False,https://www.bailii.org/uk/legis/num_reg/2016/uksi_2016643_en_1.html
6baf81e2508feb7166a733953d1e41c08f325201,Q99699410,Q99699410$27251751-F22D-4D07-AB9C-80D4951B08F9,normal,P1001,wikibase-item,The South Downs National Park Authority (Establishment) Order 2010,UK Statutory Instrument 2010 No. 497,applies to jurisdiction,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)",United Kingdom,country in Western Europe,False,False,False,The South Downs National Park Authority (Establishment) Order 2010 applies to jurisdiction of the United Kingdom.,The South Downs National Park Authority (Establishment) Order 2010 applies to jurisdiction of the United Kingdom.,The South Downs National Park Authority (Establishment) Order 2010 applies to jurisdiction of the United Kingdom.,False,The South Downs National Park Authority (Establishment) Order 2010 applies to the jurisdiction of the United Kingdom.,True,https://www.bailii.org/uk/legis/num_reg/2010/uksi_20100497_en_1.html
11513fdd381730dfa38bf9fb5a724a129dc8480c,Q99686151,Q99686151$4E1BDE62-B95E-4C12-92F2-192FB49E6449,normal,P577,time,The Proscribed Organisations (Name Changes) Order 2011,UK Statutory Instrument 2011 No. 2688,publication date,date or point in time when a work was first published or released,2011,no-desc,False,False,False,The Proscribed Organisations (Name Changes) Order 2011 was published in 2011.,The Proscribed Organisations (Name Changes) Order 2011 was published in 2011.,The Proscribed Organisations (Name Changes) Order 2011 was published in 2011.,False,The Proscribed Organisations (Name Changes) Order 2011 was published in 2011.,False,https://www.bailii.org/uk/legis/num_reg/2011/uksi_20112688_en_1.html
